-- using variable selection strategy 'VSIDS'
-- using value selection strategy 'TightestValue'
 objective   failures   branches    nds/s    lvl   clauses  size   cpu         wall time
      1792         13        601   102141    419       553     2   0.005884    6
      1449         22       1696   123480    399       562     2   0.013735    13
      1382         22       1945   121168    399       562     2   0.016052    16
      1379         23       2187   118568    388       563     2   0.018445    18
      1373         23       2372   116354    388       563     2   0.020386    20
      1365         23       2529   115437    388       563     2   0.021908    22
      1356         23       2730   115248    388       563     2   0.023688    23
      1312         23       2929   115451    388       563     2   0.02537     25
      1296         24       3111   115273    379       564     2   0.026988    27
      1293         24       3240   114422    379       564     2   0.028316    28
      1280         26       3450   114694    358       566     2   0.03008     30
      1273         27       3601   114769    349       567     2   0.031376    31
      1206         27       3763   115663    349       567     2   0.032534    32
      1186         27       3925   116617    349       567     2   0.033657    33
      1183         33       4061   116411    300       573     2   0.034885    35
      1182         33       4186   116368    300       573     2   0.035972    36
      1159         33       4339   117378    300       573     2   0.036966    37
      1157         33       4472   118097    300       573     2   0.037867    38
      1147         33       4608   118695    300       573     2   0.038822    39
      1137         33       4738   119188    300       573     2   0.039752    40
      1136         34       4871   119360    292       574     2   0.040809    41
      1113         34       5009   119898    292       574     2   0.041777    42
      1110         80       5192   116805    158       620     3   0.04445     44
      1109         90       5297   116504    148       630     3   0.045466    45
      1107        113       5431   115659    131       653     3   0.046957    47
      1106        117       5523   115720    129       657     3   0.047727    48
      1103        118       5618   116131    128       658     3   0.048376    48
      1093        122       5739   116741    127       662     3   0.04916     49
      1091        122       5824   117025    127       662     3   0.049767    50
      1085        128       5927   117076    123       668     4   0.050625    50
      1083        128       6012   117222    123       668     4   0.051287    51
      1082        128       6101   117548    123       668     4   0.051902    52
      1079        130       6201   117838    122       670     4   0.052623    52
      1076        138       6311   117850    118       678     4   0.053551    53
      1075        138       6396   117981    118       678     4   0.054212    54
      1068        140       6487   118291    117       680     4   0.054839    55
      1065        143       6587   118590    117       683     4   0.055544    55
      1060        143       6669   118775    117       683     4   0.056148    56
      1056        143       6748   118901    117       683     4   0.056753    57
      1055        147       6841   119073    115       687     4   0.057452    57
      1050        148       6938   119340    115       688     4   0.058136    58
      1048        163       7049   119012    109       703     4   0.059229    59
      1046        171       7139   118801    106       711     4   0.060092    60
      1044        194       7285   118430    100       734     5   0.061513    61
      1039        202       7393   118726     98       742     5   0.062269    62
      1038        211       7479   118554     95       751     5   0.063085    63
      1037        212       7540   118650     95       752     5   0.063548    63
      1035        213       7602   118801     95       753     5   0.063989    64
      1033        215       7675   118983     94       755     5   0.064505    64
      1032        272       7825   117669     82       812     6   0.0665      66
      1031        274       7884   117690     82       814     6   0.066989    67
      1029        275       7942   117833     82       815     6   0.0674      67
      1027        280       8023   117884     81       820     6   0.068058    68
      1025        293       8104   117612     79       833     6   0.068904    69
      1023        299       8177   117568     78       839     6   0.069551    69
      1022        324       8286   117113     74       864     6   0.070752    71
      1020        340       8373   116745     72       880     6   0.07172     72
      1016        345       8448   116888     72       885     6   0.072274    72
      1013        352       8525   116918     71       892     6   0.072914    73
      1008        355       8591   117061     71       895     6   0.073389    73
      1000        356       8657   117239     71       896     6   0.07384     74
       994        386       8760   115863     67       926     7   0.075606    76
       990        389       8824   115974     67       929     7   0.076086    76
       986        411       8894   115595     64       951     7   0.076941    77
       985        458       9012   114780     60       998     7   0.078515    78
       982        523       9159   113976     56      1063     8   0.080359    80
       979        541       9241   113483     55       924     6   0.08143     81
       978        550       9304   113468     55       933     6   0.081996    82
       972        578       9390   112771     53       961     6   0.083266    83
       971        681       9573   109860     48      1064     7   0.087138    87
       966        726       9682   108451     46       951     5   0.089275    89
       962        791       9838   107232     44      1016     6   0.091745    92
       961        828       9939   106488     43       910     5   0.093334    93
       960       3286      13776    73565     23      1680     8   0.187262    187
       959       5359      16993    64436     21      1660     8   0.263716    264
       958       7431      19973    57799     20      1658     8   0.345559    346
       956      12020      26369    50456     18      2393     9   0.522607    523
       955      39533      65549    42407     17     11349    12   1.54568     1549
       951      41135      67990    42212     17      2279     7   1.61066     1614
       948      41683      68867    42169     17      1287     5   1.6331      1637
       945      41866      69200    42178     17      1049     4   1.64065     1644
       944      43721      72298    42309     17      1405     6   1.70878     1713
       942      46459      76752    42362     16      1576     5   1.81179     1816
       941      46550      76933    42379     16      1356     5   1.81532     1819
       940      46724      77303    42424     16      1074     4   1.82215     1826
       939      47580      78865    42525     16      1127     5   1.85454     1859
       937      48710      80838    42590     16      1204     5   1.89804     1902
       933      55098      90628    42479     16      2704     7   2.13345     2138
       930      58183      95733    42581     16      1960     7   2.24823     2253
       928      59812      98346    42568     16      1533     7   2.3103      2315
       927      61040     100378    42594     16      1349     6   2.35659     2362
   optimal      88326     141689    41976     15     11118    13   3.37542     3382
