-- using variable selection strategy 'VSIDS'
-- using value selection strategy 'TightestValue'
 objective   failures   branches    nds/s    lvl   clauses  size   cpu         wall time
       917          0        100    88967      0         0   n/a   0.001124    1
       900          0        150    45745      0         0   n/a   0.003279    3
       898          0        188    33057      0         0   n/a   0.005687    6
       897          1        230    26608     22         1    24   0.008644    9
       895         19        294    26693     27        19    20   0.011014    11
       894         22        333    27577     26        22    19   0.012075    12
       892         24        367    28458     26        24    18   0.012896    13
       891         26        399    28846     26        26    18   0.013832    14
       886        129        602    26797     17       129    13   0.022465    22
       884        139        655    26877     17       139    13   0.02437     24
       880        142        709    27699     17       142    13   0.025596    26
       879        146        755    28145     18       146    13   0.026825    27
       877        147        796    28641     18       147    13   0.027792    28
       873        279       1044    25812     17       279    13   0.040446    41
       872        288       1085    25803     17       288    13   0.042049    42
       867        302       1134    25811     17       302    13   0.043934    44
       864        771       1874    19694     14       771    15   0.095152    101
       858        778       1910    19793     14       778    15   0.096496    102
       854        779       1937    19904     14       779    15   0.097316    103
       848        779       1961    19981     14       779    15   0.098143    104
       843        779       1986    20099     14       779    15   0.098808    105
       842       2595       4720    18055     11       958    10   0.261413    268
   optimal       3194       5521    17746     10       897     9   0.31111     318
-- makespan 842
-- date: 2024-10-08
-- commit: f1874e48e7646243f65e46bd7389b1e51b7deecc
