-- using variable selection strategy 'VSIDS'
-- using value selection strategy 'TightestValue'
 objective   failures   branches    nds/s    lvl   clauses  size   cpu         wall time
      1460          2         95    21839     27         2     7   0.00435     4
      1229          3        160    15979     37         3     8   0.010013    10
      1225          3        204    13930     37         3     8   0.014644    15
      1218         71        644    19902     54        93    16   0.032357    33
      1174        185       1185    17346     46       225    16   0.068312    72
      1137        265       1539    17233     48       318    16   0.089304    96
      1133        456       2284    18370     44       542    17   0.124331    131
      1124        514       2442    18561     43       601    18   0.131562    138
      1119        518       2495    18710     43       605    18   0.133345    140
      1109        519       2540    18823     43       606    18   0.134936    142
      1101        525       2588    18932     43       612    18   0.136696    143
      1089        527       2630    19065     43       614    18   0.137949    145
      1074        543       2683    19119     42       630    18   0.140326    147
      1072        547       2724    19247     42       634    18   0.141527    148
      1068        586       2848    19454     41       678    18   0.146394    153
      1067        602       2907    19502     41       696    18   0.149061    156
      1062        653       3010    19498     40       748    19   0.154373    161
      1053        773       3276    19536     38       879    19   0.16769     175
      1050       1073       3884    18983     33       899    14   0.2046      212
      1049       1075       3915    19037     33       901    14   0.205645    213
      1039       1088       3961    19083     33       915    14   0.207563    215
      1033       1103       4017    19121     33       930    14   0.210075    217
      1032       1105       4046    19152     33       932    14   0.211252    218
      1022       1113       4088    19194     33       940    15   0.212979    220
      1021       1136       4147    19174     33       963    15   0.216276    223
      1020       1150       4186    19129     33       977    15   0.21882     226
      1011       1169       4234    19110     32       996    15   0.221548    229
      1008       1352       4535    18672     30       855    13   0.242877    250
       998       1354       4562    18700     30       857    13   0.243952    251
       992       1504       4786    18424     29      1010    15   0.259767    267
       991       4980       9637    16016     16      1396    11   0.601706    609
   optimal       8170      13556    14511     13      1578    11   0.934126    942
-- makespan 991
-- date: 2024-10-08
-- commit: f1874e48e7646243f65e46bd7389b1e51b7deecc
