-- using variable selection strategy 'VSIDS'
-- using value selection strategy 'TightestValue'
 objective   failures   branches    nds/s    lvl   clauses  size   cpu         wall time
      1196          0         36   124137      0         0   n/a   0.00029     0
      1191          1         75    81521     33         1    17   0.00092     0
      1184          3        107    64419     29         3    19   0.001661    1
      1164          5        139    62839     26         5    18   0.002212    2
      1158          6        172    65824     26         6    17   0.002613    2
      1144          7        205    69538     27         7    16   0.002948    3
      1135          7        231    70902     27         7    16   0.003258    3
      1123         11        257    70759     24        11    16   0.003632    3
      1114         16        282    70996     22        16    16   0.003972    4
      1111         24        320    69384     24        24    19   0.004612    4
      1110         77        401    58141     22        77    19   0.006897    6
      1109         78        428    59659     22        78    19   0.007174    7
      1106         78        452    61097     22        78    19   0.007398    7
      1099         97        497    59061     22        97    19   0.008415    8
      1098        285        748    45432     21       285    20   0.016464    16
      1091        285        766    45862     21       285    20   0.016702    17
      1089        376        882    43347     19       376    20   0.020347    20
      1083        383        909    43521     19       383    20   0.020886    21
      1077        385        929    43943     19       385    20   0.021141    21
      1073       1111       1776    34496     17       790    18   0.051484    53
      1071       1951       2724    30824     15       962    16   0.088371    95
      1069       2664       3557    30664     15      1017    16   0.115998    122
      1066       3089       4063    30807     15      1136    15   0.131884    138
      1060       5472       6713    29835     14      1160    13   0.224998    232
      1057       6033       7373    29864     14      1044    13   0.246883    254
      1056       9582      11224    29453     13      1410    12   0.38108     389
   optimal      23794      26432    28884     11      4794    12   0.915088    924
-- makespan 1056
-- date: 2024-10-08
-- commit: f1874e48e7646243f65e46bd7389b1e51b7deecc
