 objective   failures   branches    nds/s    lvl   clauses  size   cpu
       606        342       1334   207336     14       342     2   0.006434
       588        371       1426   195208     15       371     2   0.007305
       533        386       1518   187245     15       386     2   0.008107
       508        392       1551   181361     15       392     2   0.008552
       498        416       1634   173996     15       416     2   0.009391
       493        416       1655   170460     15       416     2   0.009709
       479        417       1676   167265     15       417     2   0.01002
       435        417       1697   164262     15       417     2   0.010331
       423        417       1718   161542     15       417     2   0.010635
       385        419       1747   158529     15       419     2   0.01102
       378        419       1767   156261     15       419     2   0.011308
       370        419       1786   154324     15       419     2   0.011573
       360        422       1807   152553     15       422     2   0.011845
       355        422       1824   150943     15       422     2   0.012084
       352        422       1841   149346     15       422     2   0.012327
       347        422       1857   147932     15       422     2   0.012553
       328        427       1879   146202     15       427     2   0.012852
       325        431       1902   144232     15       431     2   0.013187
       319        435       1925   142476     15       435     2   0.013511
       318        436       1946   140932     15       436     2   0.013808
       311        441       1969   140012     14       441     2   0.014063
       300        441       1986   138803     14       441     2   0.014308
       299        453       2031   135961     14       453     2   0.014938
       291        453       2048   135065     14       453     2   0.015163
       280        454       2065   134003     14       454     2   0.01541
       278        454       2079   133056     14       454     2   0.015625
       276        454       2092   132079     14       454     2   0.015839
       270        454       2106   131100     14       454     2   0.016064
       267        455       2129   130293     14       455     2   0.01634
       266        458       2145   128805     14       458     2   0.016653
       263        458       2157   127905     14       458     2   0.016864
       255        458       2170   126730     14       458     2   0.017123
       254        458       2182   125763     14       458     2   0.01735
       251        459       2195   124829     14       458     2   0.017584
       250        460       2207   123800     14       459     2   0.017827
       243        465       2226   123337     14       464     2   0.018048
       240        465       2237   122608     14       464     2   0.018245
       239        465       2247   121927     14       464     2   0.018429
       237        465       2257   121494     14       464     2   0.018577
   optimal        465       2257   121161     14       464     2   0.018628
makespan 237
