-- using variable selection strategy 'VSIDS'
-- using value selection strategy 'TightestValue'
 objective   failures   branches    nds/s    lvl   clauses  size   cpu
       139          6       1293   230892    499         6     3   0.0056
       136         12       2922   183923    509        11     3   0.015887
       134         27       5167   164995    357        25     3   0.031316
       131         34       6271   164519    363        32     3   0.038117
       130         66      12235   146532    339        59     2   0.083497
       128        102      18769   145202    339        89     2   0.129261
       126        113      20138   146406    339        99     2   0.137549
       125        115      20883   146945    346       101     2   0.142114
       124        141      23869   147726    340       125     2   0.161576
       123        147      24847   148188    348       130     2   0.167672
       122        152      25826   148410    351       135     2   0.174017
       120        154      26549   148895    353       137     2   0.178306
       118        166      28174   149314    347       148     2   0.188689
       117        181      30122   149644    335       162     2   0.201291
       115        189      31316   149825    339       169     2   0.209017
       114        190      31952   149945    340       170     2   0.213091
       112        192      32795   150253    338       172     2   0.218264
       111        193      33490   150487    336       173     2   0.222544
       110        207      35907   150844    332       184     2   0.23804
       109        210      36490   151154    333       187     2   0.241409
       107        216      37986   151585    330       191     2   0.250592
       106        226      38626   151921    335       201     2   0.25425
       105        261      42908   152505    325       228     2   0.281353
       104        261      43309   152587    325       228     2   0.28383
       102        278      44810   152691    319       241     2   0.293468
       101        286      45602   152965    317       249     2   0.298119
       100        289      45957   153102    317       252     2   0.300172
        99        295      46657   153262    314       258     2   0.304425
        98        302      47704   153571    312       263     2   0.31063
        97        304      48131   153775    312       265     2   0.312995
        96        309      48776   153975    309       270     2   0.316777
        95        312      49144   154135    308       273     2   0.318837
        94        316      49765   154167    306       275     2   0.322799
        93        320      50074   154201    304       279     2   0.324732
        92        322      50334   154218    303       281     2   0.326381
        91        324      50589   154266    303       283     2   0.327932
        90        325      50824   154301    303       284     2   0.329382
        89        331      51057   154269    300       290     2   0.330959
        88        339      51739   154285    297       296     2   0.335345
        87        362      52328   154003    287       318     2   0.339784
        86        366      52514   153999    285       322     2   0.341001
        85        379      52714   153863    278       335     3   0.342602
        84        402      52948   153647    266       358     3   0.344607
        83        422      53268   153445    257       377     3   0.347145
        82        423      53391   153423    257       378     3   0.347997
        81        436      53577   153325    251       391     3   0.349433
        80        440      53723   153281    250       395     3   0.350485
        79        441      53798   153218    249       396     3   0.35112
        78        442      53869   153179    249       397     3   0.351673
        77        444      53944   153142    248       399     3   0.352246
        76        446      54022   153105    247       401     3   0.352841
        75        450      54119   153110    245       405     3   0.353464
        74        468      54311   152895    236       423     3   0.355217
        73        486      54472   152900    228       441     3   0.356258
        72        510      54621   152607    219       465     3   0.357919
        71        523      54800   152616    214       478     3   0.359069
        70        557      54973   152201    202       512     4   0.361186
   optimal        572      55014   151805    197       526     4   0.362397
