-- using variable selection strategy 'VSIDS'
-- using value selection strategy 'TightestValue'
 objective   failures   branches    nds/s    lvl   clauses  size   cpu         wall time
  restart         129        190    38492     25      1155     4   0.004936    5
  restart         282        507    50387     22      1235     4   0.010062    10
  restart         465        818    53241     21      1312     5   0.015364    15
  restart         684       1121    53907     22      1391     5   0.020795    21
  restart         946       1523    56707     22      1476     6   0.026857    27
  restart        1260       1979    58696     22      1572     7   0.033716    34
  restart        1636       2548    61718     22      1683     8   0.041284    41
  restart        2087       3197    64382     21      1813     8   0.049656    50
  restart        2628       3973    67507     21      1967     9   0.058853    59
  restart        3277       4905    70293     21      2150    10   0.069779    70
  restart        4055       6067    74294     21      2369    11   0.081661    82
  restart        4988       7358    76957     21      2630    11   0.095611    96
  restart        6107       9032    79410     20      2943    11   0.113738    114
  restart        7449      10790    79295     20      3319    12   0.136073    136
  restart        9059      12889    78830     20      3769    14   0.163503    164
  restart       10991      15412    78541     21      4310    14   0.196227    197
  restart       13309      18236    77235     20      4959    15   0.23611     237
      sat       13588      18681    77597     20      5238    15   0.240742    241
SAT #fails = 13588
