-- using variable selection strategy 'VSIDS'
-- using value selection strategy 'TightestValue'
 objective   failures   branches    nds/s    lvl   clauses  size   cpu         wall time
     36630          0         17    22727      0         0   n/a   0.000748    0
     36623         61        112    15143     14        61    10   0.007396    7
     36620        668        874    23141     16       668    11   0.037768    38
     36608        909       1222    26939     16       909    10   0.045361    45
     36607       1104       1478    28948     15       792     9   0.051057    51
     36599       1243       1681    30664     15       931     9   0.054819    55
     36598       1507       2038    32851     15       877     9   0.062037    62
     36597       1541       2096    33196     15       911     9   0.06314     63
     36589       1734       2355    34368     15       792     8   0.068523    69
     36572       2111       2866    36942     14       846     8   0.077579    78
     36550       2938       3962    41103     14       976     8   0.096391    97
     36530       3841       5132    43804     13      1214     8   0.117157    117
     36520       4388       5822    44811     13      1056     7   0.129922    130
   optimal       5566       7279    46862     12       956     6   0.155328    156
-- makespan 36520
-- date: 2024-10-08
-- commit: f1874e48e7646243f65e46bd7389b1e51b7deecc
