-- using variable selection strategy 'VSIDS'
-- using value selection strategy 'TightestValue'
 objective   failures   branches    nds/s    lvl   clauses  size   cpu         wall time
        80          0         14   194444      0       270     2   7.2e-05     0
        84          0         23   193277      0       270     2   0.000119    0
        92         77        119    65709     10       347     3   0.001811    1
       102         77        135    72541     10       347     3   0.001861    1
       114         78        148    76883     10       348     3   0.001925    2
       124        107        191    72375     10       377     4   0.002639    2
       131        107        206    76779     10       377     4   0.002683    2
       137        236        384    69640      9       506     5   0.005514    5
       151        236        397    71402      9       506     5   0.00556     5
       159        236        407    72600      9       506     5   0.005606    5
       163        352        548    65668      8       620     5   0.008345    8
   optimal        400        598    64550      7       665     5   0.009264    9
